task,seed,split,trial,label,amplitude,noise_seed
side,101,train,55,0,0.7822462066114694,322223313797279387
side,101,train,56,0,0.6613471169208339,8275846427014528092
side,101,train,57,0,0.8349003368514895,698412665889452022
side,101,train,58,0,0.944209279878019,5677222904516733071
side,101,train,59,1,0.8381856717479144,4783113259567801286
side,101,validation,0,1,0.6539836006098514,7174416228747215436
side,101,validation,1,1,0.5750230696075015,351330374145382912
side,101,validation,2,1,0.6753271425986098,6854984541056466210
side,101,validation,3,1,0.8726236812875363,4837918995716387745
side,101,validation,4,1,0.8834412292272366,6419307698595118034
side,101,validation,5,0,0.8792796080648456,2313955181506721749
side,101,validation,6,0,0.8124496045902927,8184348925163183440
side,101,validation,7,0,0.7376931433264531,2328797204679253997
side,101,validation,8,1,0.9085669168389878,7306944592421451489
side,101,validation,9,0,0.5747149784874139,2264210227268177616
side,101,validation,10,0,0.9406510114016524,7697633505056298816
side,101,validation,11,0,0.9148835817209303,905753983475479971
side,101,validation,12,0,0.6393705436660018,951360103561958705
side,101,validation,13,0,0.7605683399330965,5414516676145619759
side,101,validation,14,0,0.7895379387790182,133698740828231279
side,101,validation,15,1,0.8762088747999095,4501358915499025469
side,101,validation,16,1,0.8380313711885374,4275341436891125835
side,101,validation,17,1,0.9213768318375954,8024509847669188725
side,101,validation,18,1,0.6128051697640585,2630347060989435134
side,101,validation,19,0,0.6539295913765594,8545434851734013353
side,101,test,0,0,0.8759972142790294,3198477606988213229
side,101,test,1,0,0.6012975397414397,6913963523647361985
side,101,test,2,1,0.7902916001924334,8829091480477457465
side,101,test,3,1,0.5515781873326266,8397751467618343800
side,101,test,4,1,0.6185747252531204,7560167721799839972
side,101,test,5,1,0.7838382480002614,9050879829697381059
side,101,test,6,0,0.5590133484011401,8846655406625591
side,101,test,7,1,0.5639928298335706,3039919180875166528
side,101,test,8,0,0.9196520916703966,2991827994301262477
side,101,test,9,1,0.7129350919580222,1051548861176159066
side,101,test,10,0,0.8193369890591424,6757396651648768423
side,101,test,11,0,0.9335879837458612,4911856551648469409
side,101,test,12,0,0.7405638431566868,2256833400422849981
side,101,test,13,0,0.6870817110609285,6973970094159249986
side,101,test,14,1,0.8938455629404762,4608519334755663952
side,101,test,15,1,0.7765699182212211,7592252783024769068
side,101,test,16,1,0.8439910548990792,2042553006960495608
side,101,test,17,0,0.6837313388305826,7889158762819477240
side,101,test,18,1,0.6715155255958603,6807874795921132690
side,101,test,19,0,0.8341546398865369,3434071445874683820
side,101,test,20,1,0.8674133593053092,4569512321516517108
side,101,test,21,1,0.8346840542505337,5000755544769144321
side,101,test,22,0,0.7185059871537091,2510266735622497043
side,101,test,23,1,0.569763409590111,3987095341854587287
side,101,test,24,0,0.794034623736834,5403894259542415443
side,101,test,25,1,0.8908355865980278,5889069446698660289
side,101,test,26,0,0.7504699628303692,5331875711708696216
side,101,test,27,0,0.7952227342645043,7648431451676488561
side,101,test,28,0,0.8739744878106068,6027429167497260208
side,101,test,29,1,0.873420885996393,816276297270056202
side,101,test,30,0,0.6954998294873017,8958715841740987445
side,101,test,31,0,0.9281628032897897,8909173729261657930
side,101,test,32,1,0.9149993025474461,7897378609453165606
side,101,test,33,0,0.6940484850315335,1425262263837468909
side,101,test,34,1,0.6478777508241805,2905284762874924162
side,101,test,35,1,0.6492175491709657,5217031675699561360
side,101,test,36,0,0.6352090292913091,9034195468466475154
side,101,test,37,1,0.6090851874389632,5347976591129507455
side,101,test,38,1,0.7227132394657458,705548503337752640
side,101,test,39,1,0.7128632275853637,4599679625940886340
side,101,test,40,0,0.5802508539739099,3872496520852153554
side,101,test,41,1,0.6337271703913446,3125827793215901298
side,101,test,42,1,0.7303107092227002,215424013001709558
side,101,test,43,1,0.9336549289155525,899688289505932882
side,101,test,44,0,0.8322457207127083,4706657786210216592
side,101,test,45,0,0.6531822334460888,3066706169553152629
side,101,test,46,1,0.9026493207368311,1204072978889730391
side,101,test,47,0,0.8462349681374628,6909574434107334202
side,101,test,48,1,0.7354189324895652,7892483706219728145
side,101,test,49,0,0.5760331633313703,3879582690062746716
side,101,test,50,0,0.8425950016198596,1979268038271418985
side,101,test,51,1,0.6679349094107999,7833531849065999396
side,101,test,52,0,0.6520903759231799,2924102045244808818
side,101,test,53,1,0.6216146865918709,3518779133315520370
side,101,test,54,1,0.5595661607301387,708467968748020901
side,101,test,55,0,0.686984980240877,6076077971996457247
side,101,test,56,0,0.5761765432611409,7799295936109245977
side,101,test,57,1,0.904781166140572,6342936379010206787
side,101,test,58,0,0.7748740467256438,1497490216548963398
side,101,test,59,0,0.8294619581835581,6733778749837209677
order,101,train,0,1,0.7124556559103294,4572545925234600690
order,101,train,1,0,0.6441553141201318,7669048147926482587
order,101,train,2,0,0.9154491046416535,3645348684480795444
order,101,train,3,0,0.75754242855123,5240928986437050648
order,101,train,4,1,0.7988716410737682,8863672917245197349
order,101,train,5,1,0.8784900551482472,2095917314749750206
order,101,train,6,0,0.6996243403910483,8485132344698151195
order,101,train,7,0,0.6320350977556702,1067750038842064233
order,101,train,8,1,0.7713611015171645,6367561994232890382
order,101,train,9,1,0.6905724003300184,5775678290177174763
order,101,train,10,1,0.8086712958810445,1326905349855492325
order,101,train,11,1,0.6600663092090091,6858326742235282110
order,101,train,12,1,0.7524362350574975,8799196961351017470
order,101,train,13,0,0.9049202090443815,1064899853456858256
order,101,train,14,1,0.6485136919407096,5276816356575129235
order,101,train,15,1,0.8054983446857309,2586144662055264199
order,101,train,16,0,0.6099354683782334,4984495408052296432
order,101,train,17,1,0.8861909697778076,4289272510609913694
order,101,train,18,1,0.7614963000612863,5352800790295472382
order,101,train,19,1,0.9123182081005272,4689693502734776667
order,101,train,20,0,0.852122429226223,3173332212863983463
order,101,train,21,1,0.7193983132006316,4378493655474781455
order,101,train,22,0,0.7347789664706224,4444129478235470914
order,101,train,23,1,0.636969545528,6448596012956835318
order,101,train,24,1,0.6197077477577653,1461947751271552388
order,101,train,25,1,0.6039905315689496,2575453421116341504
order,101,train,26,1,0.8142649646717557,1774035425989980026
order,101,train,27,0,0.8604318080591578,8766699757786140874
order,101,train,28,0,0.6621676015120304,7031981535553660809
order,101,train,29,1,0.7242476513182539,4005670754010007235
order,101,train,30,1,0.6750257278219146,6456303769468383812
order,101,train,31,1,0.6387577310802003,2487108056741412920
order,101,train,32,0,0.6960676487414168,2830441626693841061
order,101,train,33,0,0.6180195601980889,4521458744891766650
order,101,train,34,0,0.7510816988090735,7392859413481049441
order,101,train,35,0,0.808363885961362,7110673943607779063
order,101,train,36,0,0.7498194289698293,606127071640571688
order,101,train,37,0,0.8433798606082636,5153912292599284544
order,101,train,38,0,0.7324641203003738,7505056034764368537
order,101,train,39,0,0.9158900325541084,4523894207987857110
order,101,train,40,1,0.8312060076059957,2427430182444713351
order,101,train,41,1,0.787220117491302,7890866670499548094
order,101,train,42,0,0.8045135825987639,1219034846788268664
order,101,train,43,1,0.9275594369444545,7372302369122250168
order,101,train,44,1,0.7987673621594127,5957140621774817515
order,101,train,45,0,0.8290296976459085,6243790226478362080
order,101,train,46,1,0.7213654931566147,7078009990602658223
order,101,train,47,0,0.5614788867473763,8059971182949442050
order,101,train,48,1,0.7019995919723715,1464784734620928918
order,101,train,49,1,0.5871933660678853,3996025198341046690
order,101,train,50,0,0.6248687543259753,9138367725616143229
order,101,train,51,0,0.7274295487599961,5794337472719702353
order,101,train,52,0,0.8263058728760897,883722384502897610
order,101,train,53,1,0.6932802988674001,772308173419367334
order,101,train,54,0,0.5857109346189122,2829646573665370353
order,101,train,55,0,0.8199186487931354,2005862012899063749
order,101,train,56,1,0.748323042487028,3975102030751734832
order,101,train,57,0,0.7604056728437448,8068134851859095772
order,101,train,58,0,0.9284259598591978,8617395942056534447
order,101,train,59,0,0.5857773572766948,1236231641457158174
order,101,validation,0,0,0.6955750296268556,7735576848702991492
order,101,validation,1,1,0.9264886263826436,2408519543524230310
order,101,validation,2,0,0.6395752715123392,6643702680714309673
order,101,validation,3,0,0.8769548229134262,1048016202712568670
order,101,validation,4,1,0.6330162477305173,415397772409784075
order,101,validation,5,0,0.8839646163350543,3219605482728758763
order,101,validation,6,0,0.7850540610008259,8919266530978843579
order,101,validation,7,1,0.6324545026950382,3978994687017267965
order,101,validation,8,0,0.7514779569462873,160545595479372602
order,101,validation,9,1,0.7069965149242605,1927338618839884128
order,101,validation,10,0,0.6589816053198144,8692088476138383078
order,101,validation,11,1,0.8741136910304246,8576636888533994144
order,101,validation,12,1,0.8999206013115286,1861219491133681652
order,101,validation,13,0,0.6175544695583424,2883262651434292136
order,101,validation,14,1,0.9010353973138989,9179049041436569055
order,101,validation,15,1,0.5612309245850057,6008736309837717110
order,101,validation,16,1,0.6860332711057453,6275638808445163280
order,101,validation,17,0,0.7713773170817679,364932219020782910
order,101,validation,18,1,0.7284585888672023,3071422561692988741
order,101,validation,19,0,0.5583563670462504,191959428675465746
order,101,test,0,0,0.5703037616249811,9087567345337446968
order,101,test,1,0,0.7559008809128684,3936439411932724608
order,101,test,2,0,0.7191162194390494,2998448084595171688
order,101,test,3,0,0.634655046243577,1766551452084968591
order,101,test,4,1,0.9025805259970141,8937379311316438459
order,101,test,5,1,0.6023376658011974,4674410861885931639
order,101,test,6,1,0.6834172987458991,9214476493714811164
order,101,test,7,0,0.8941553300045321,4739630905207295140
order,101,test,8,0,0.9414476526472186,4713801382597473847
order,101,test,9,0,0.813245977029833,4956423377905015480
order,101,test,10,1,0.6000962853457905,2739784653777433616
order,101,test,11,0,0.652115925644449,5401131810407801324
order,101,test,12,1,0.6603579196613297,2125623590583314549
order,101,test,13,1,0.7644050282706292,7167518569670068385
order,101,test,14,1,0.5992947796813348,5065252014209453755
order,101,test,15,0,0.9443363944876421,1154955549967855840
order,101,test,16,1,0.8708013634070442,3416399619296885759
order,101,test,17,1,0.6446984534457044,2068784455948661168
order,101,test,18,1,0.6878648139154314,1555570101015127168
order,101,test,19,1,0.7479976678501018,1831785053416713380
order,101,test,20,1,0.8140728851422261,8622652681618749815
order,101,test,21,1,0.9392025401182666,7376135247197909389
order,101,test,22,1,0.9080549190977825,9060419569570924852
order,101,test,23,0,0.6047708126730555,531104819741207548
order,101,test,24,1,0.7438011462432574,6189946654136792261
order,101,test,25,0,0.9473478734968224,163492417404612971
order,101,test,26,0,0.8110608748611243,1691227142279797014
order,101,test,27,0,0.870704005874336,5545773864682615248
order,101,test,28,1,0.5545814915852972,5832806989565550884
order,101,test,29,1,0.7751502614645522,5797212077846497707
order,101,test,30,0,0.6823068674789485,2343856462928804447
order,101,test,31,1,0.63360850812559,6560669636393478465
order,101,test,32,0,0.9081615049407722,3099261666138842803
order,101,test,33,1,0.6339905653229584,1948978037493910585
order,101,test,34,0,0.6463216850411987,4024587827820826019
order,101,test,35,1,0.9454978257833371,2469081067810633162
order,101,test,36,0,0.7608501402171088,1287484814958927113
order,101,test,37,0,0.9084150089637504,1310676433968387887
order,101,test,38,0,0.9109039007500486,8186962439063563610
order,101,test,39,0,0.6741003708029808,2696955667703726204
order,101,test,40,0,0.8964813221655836,8331079484824707735
order,101,test,41,0,0.6576132621905243,3097040826956093620
order,101,test,42,1,0.6173821263473963,4832608791268119344
order,101,test,43,1,0.6083405669987598,106186745768505776
order,101,test,44,1,0.6111222336509715,7587179645025247745
order,101,test,45,0,0.8542396823181113,2737687215502494659
order,101,test,46,0,0.8330488746912359,999000432005154802
order,101,test,47,0,0.9153120889732509,6411877045490909396
order,101,test,48,1,0.5801841791602105,3946764184101715247
order,101,test,49,1,0.617787397728293,1564423197759540920
order,101,test,50,0,0.665781559816791,6374273371857167038
order,101,test,51,1,0.9198876969370289,3942146665566210465
order,101,test,52,1,0.6216111246970383,2095758136179748734
order,101,test,53,1,0.5857055234278533,7984384399087821249
order,101,test,54,0,0.8603883422897469,1834744457899369264
order,101,test,55,0,0.5769903710974722,268935254111387691
order,101,test,56,0,0.7584733347276027,5423331506916268221
order,101,test,57,0,0.6351910990658316,1418208757711790938
order,101,test,58,1,0.8398206008184985,469218931052438559
order,101,test,59,1,0.9276444079469773,1094612243818057893
side,202,train,0,1,0.9077455707644717,3883640400683580598
side,202,train,1,0,0.9096791893924157,4958260299495087181
side,202,train,2,0,0.5580404839302072,7323517871316003105
side,202,train,3,0,0.9100214443434538,2072392080382414925
side,202,train,4,1,0.6372791440308925,6651929774788864221
side,202,train,5,1,0.7971367079667608,3816079744434375749
side,202,train,6,0,0.7932857632572012,6995810511278727720
side,202,train,7,1,0.8216673690174825,8278685831474857654
side,202,train,8,1,0.8994541299165154,1108610521743484816
side,202,train,9,0,0.6140679198765928,5531943435988112162
side,202,train,10,0,0.9341252530486276,6573404581957432898
side,202,train,11,0,0.8996677112203129,5941004364645571475
side,202,train,12,0,0.6695722353882494,5614495461266596637
side,202,train,13,0,0.5533008275884839,7396026677872034437
side,202,train,14,0,0.8421830938008846,214044099337067168
side,202,train,15,1,0.914968088225846,6592200538927483179
side,202,train,16,1,0.6797299858028705,8028683934889898094
side,202,train,17,1,0.8267881044752321,3465848669605067666
side,202,train,18,0,0.9133223464221207,2149032115677406542
side,202,train,19,0,0.7278843934446381,6364097207644078184
side,202,train,20,1,0.5978293582815188,1984234034791797145
side,202,train,21,0,0.6417376772041553,1536047673384566223
side,202,train,22,0,0.8190418229537053,606844274585832508
side,202,train,23,1,0.7699882113668912,2979243080881808835
side,202,train,24,1,0.8805673146232502,6382480270160209421
side,202,train,25,0,0.923944553815207,8691566451421588422
side,202,train,26,1,0.8090819956032248,340351080349644923
side,202,train,27,0,0.6430824457094516,3184110406568737764
side,202,train,28,0,0.6793545479063394,6109132291180502531
side,202,train,29,0,0.5918807700780996,8926890062031829793
side,202,train,30,1,0.6893469933643979,213012731543047653
side,202,train,31,1,0.9293626918385944,4831401347277247289
side,202,train,32,1,0.9091743238639303,3651175909165520074
side,202,train,33,0,0.5851755049059354,7753221314378124566
side,202,train,34,1,0.8096727423984366,3439850205352127687
side,202,train,35,1,0.6984653628475347,6336095293455388190
side,202,train,36,1,0.6612358307703924,6693222033024622176
side,202,train,37,1,0.7542911366075986,5901965785370607991
side,202,train,38,1,0.7329348981742057,4876468009356108032
side,202,train,39,1,0.847813194265386,9183262130167746722
side,202,train,40,0,0.9093423611572884,2199096422247660058
side,202,train,41,0,0.5684628737137841,3895158269495652947
side,202,train,42,1,0.7347579767522093,6568704464783532945
side,202,train,43,0,0.9089821860061569,4578056371908728471
side,202,train,44,1,0.5507654264896399,1333942883064529320
side,202,train,45,0,0.7692237266433489,5480456446838894200
side,202,train,46,1,0.7881309143219526,3642882443664528759
side,202,train,47,1,0.7474610373256865,5318984617059224709
side,202,train,48,1,0.6610792522393776,4749051404988498500
side,202,train,49,1,0.6873992029113527,1346235286603299133
side,202,train,50,0,0.7900460795306743,725538154155763073
side,202,train,51,0,0.8379960829312612,6085601671925004122
side,202,train,52,1,0.9390021127138843,6301017817777100271
side,202,train,53,0,0.6154110018146497,5657863166094193625
side,202,train,54,1,0.8570723802577286,6893810096185712981
side,202,train,55,0,0.7203906054745433,1030387510860997130
side,202,train,56,1,0.6352236427008687,2630763528223917251
side,202,train,57,0,0.5709967800028526,4301781305344366905
side,202,train,58,0,0.8705880042188878,8534825710479024020
side,202,train,59,0,0.6620049030686598,2074963702300602227
side,202,validation,0,1,0.6128911139080618,4368313020161274070
side,202,validation,1,1,0.5673039893775406,1839554992202498249
side,202,validation,2,0,0.7771675679175553,4106079437190773227
side,202,validation,3,0,0.6706776737431492,6207563429565638889
side,202,validation,4,0,0.9155753752676445,6513351992846242816
side,202,validation,5,1,0.5678015855959725,3930633366245744027
side,202,validation,6,1,0.7676145756863224,344402494759201314
side,202,validation,7,1,0.7584791709763108,7980579920263642711
side,202,validation,8,1,0.8763590612156074,2842862173314366512
side,202,validation,9,1,0.8492492001876922,980806142642119574
side,202,validation,10,0,0.6251481471864271,7006033966370231594
side,202,validation,11,1,0.6554969997421839,4162288580428213954
side,202,validation,12,0,0.7348024246623953,2663244336859042271
side,202,validation,13,1,0.9438625808123815,3630215276744890772
side,202,validation,14,0,0.6764196253824667,2074814824587816771
side,202,validation,15,0,0.6850296311664521,6551418697321729484
side,202,validation,16,0,0.8460582453416118,2993894505385197886
side,202,validation,17,0,0.7840306360788856,6185573095862723387
side,202,validation,18,1,0.6412172159924862,1819634416155216746
side,202,validation,19,0,0.833255219969675,134564407642318216
side,202,test,0,1,0.9250190706400978,1165556874200332427
side,202,test,1,0,0.677424099226313,8173613661448810689
side,202,test,2,0,0.5826318866890519,2289552390436923714
side,202,test,3,1,0.7304777646692813,7199788138927941228
side,202,test,4,1,0.9421447044640605,5953369635729535247
side,202,test,5,1,0.5942634842965042,8850224898689486292
side,202,test,6,0,0.7079367668280181,3008724212330628346
side,202,test,7,0,0.7525600229336267,357495611962821317
side,202,test,8,0,0.7614181172017144,8249403698173690517
side,202,test,9,0,0.9289063043079413,1712602582830602504
side,202,test,10,1,0.7736895110114765,8767855895123517230
side,202,test,11,1,0.6040839718161043,5672606008210058229
side,202,test,12,0,0.8158316404438128,5480162793199302266
side,202,test,13,0,0.8495423486153936,4840209089111782819
side,202,test,14,0,0.5963197597595244,5234347249971243871
side,202,test,15,0,0.7542782876966827,6920981662916010930
side,202,test,16,1,0.855470425843866,8642652776775684170
side,202,test,17,0,0.7538365961316651,6587789010618646952
side,202,test,18,1,0.7730677712659259,1331675732066237353
side,202,test,19,1,0.6773349818623146,8792979399434578716
side,202,test,20,1,0.7819272966099359,4555956978353961387
side,202,test,21,1,0.7276925783763672,560396651431283279
side,202,test,22,1,0.6790904493554617,2465170841264323027
side,202,test,23,0,0.5994505800714209,141225366571828446
side,202,test,24,1,0.9010949006799255,1772484068540694465
side,202,test,25,1,0.5926335330640903,4897308525037629470
side,202,test,26,0,0.737694381032224,4872855338841293372
side,202,test,27,1,0.7140833162802691,6764663536092458954
side,202,test,28,1,0.8138245110001716,2061920733227792700
side,202,test,29,0,0.6794135257752929,9212937268576052115
side,202,test,30,1,0.9149589019626183,2688201363190887386
side,202,test,31,0,0.7737619326088229,797459353551659006
side,202,test,32,1,0.8918417970575847,5428910168812672009
side,202,test,33,1,0.8383128812731231,7070634589599531411
side,202,test,34,1,0.7293561414184324,3824570243612749707
side,202,test,35,0,0.5990314991365712,8678737710924195363
side,202,test,36,0,0.5604539232267305,4988811419914223050
side,202,test,37,0,0.7852945064760806,7955842366016957390
side,202,test,38,1,0.8287165982501274,5975933103009507827
side,202,test,39,1,0.562710896541577,304473016657189569
side,202,test,40,0,0.6872140824172991,8592242323919324332
side,202,test,41,0,0.6131674744782296,4001808137389787790
side,202,test,42,0,0.7331208445099591,8460426375652029432
side,202,test,43,1,0.6785433526416882,1767934049800369213
side,202,test,44,1,0.9199911377006302,3112026082699412477
side,202,test,45,0,0.5648762687220351,6105509145277687429
side,202,test,46,1,0.9370210042189411,7357478948614204671
side,202,test,47,1,0.7664972959899835,478007270412113616
side,202,test,48,1,0.8398362436951265,8136422465558480169
side,202,test,49,0,0.721540716354454,9003220765085879707
side,202,test,50,0,0.8257439223265028,6366370958561645871
side,202,test,51,0,0.6678184295241687,2115096308729234618
side,202,test,52,1,0.7987695357597233,4787684473840581306
side,202,test,53,1,0.9267104904667148,7150733201860964068
side,202,test,54,0,0.8445891731945827,298707765154330972
side,202,test,55,0,0.9418831069832567,6218352364054014235
side,202,test,56,1,0.7116172601005175,1992306729989313694
side,202,test,57,0,0.7938026596899193,4891673209251772428
side,202,test,58,0,0.886694844105854,3579553448429046010
side,202,test,59,0,0.6814117709249609,617831834571711624
order,202,train,0,0,0.7385277365139469,8599555764708914167
order,202,train,1,0,0.583471183514153,1760598127950743484
order,202,train,2,0,0.9052577625479341,3507286084570727070
order,202,train,3,0,0.5571071586064983,5561086303282741287
order,202,train,4,1,0.5722057293609565,7561799265979969265
order,202,train,5,0,0.7548776538645825,1022180679244557767
order,202,train,6,0,0.7365078305856272,8793583438085620194
order,202,train,7,1,0.6760782637384869,7492204554669833227
order,202,train,8,1,0.7514584078974967,5084824105252932155
order,202,train,9,1,0.5767039371153732,7152346134612008747
order,202,train,10,1,0.5776204634731215,2048483222224573425
order,202,train,11,1,0.7389930984951621,6993606874101650746
order,202,train,12,1,0.5820157448292826,5779393577407920454
order,202,train,13,1,0.5928210479062481,9026262468773712113
order,202,train,14,0,0.7200183407093629,8471603094004992286
order,202,train,15,0,0.5520854530138788,6836736817083471126
order,202,train,16,1,0.7428283751297737,3155896934770255156
order,202,train,17,0,0.8587485446069024,4636453602866693223
order,202,train,18,1,0.5916014323734766,3799114651577734546
order,202,train,19,0,0.7098466359164481,8699969596407197465
order,202,train,20,1,0.7096569780328195,2496615795223551767
order,202,train,21,1,0.8802494049899636,220576780571050563
order,202,train,22,0,0.6895935903951266,246121490354661544
order,202,train,23,0,0.6587913610296897,2630380970787318356
order,202,train,24,1,0.7738383117112287,2180830053200871406
order,202,train,25,0,0.873503802455015,858588058462766279
order,202,train,26,0,0.8144683072611573,3833155343077366310
order,202,train,27,0,0.556565297641363,2138790908832228006
order,202,train,28,0,0.8496326057568739,2831743377204114253
order,202,train,29,1,0.6361494324185167,7105380776112871248
order,202,train,30,1,0.6847455422562929,5420689165382496662
order,202,train,31,0,0.6872940038695087,595724797423394556
order,202,train,32,1,0.9113533707013854,3560844952131817970
order,202,train,33,1,0.8205150269724453,3424676356332051051
order,202,train,34,0,0.8259633044072305,3023042648068652444
order,202,train,35,1,0.702484879086034,7786636962480411474
order,202,train,36,0,0.6378954151023793,2103152210374376474
order,202,train,37,1,0.8269224191249938,2828570698052055400
order,202,train,38,1,0.6845680577401551,1411685774619517172
order,202,train,39,0,0.7490906464876717,6027174928497245409
order,202,train,40,0,0.6681236938232464,6092418682029521313
order,202,train,41,1,0.8785127776283346,7427145716378667686
order,202,train,42,0,0.9079050635481594,6338969575868183796
order,202,train,43,1,0.8045093885721488,6360191699822258721
order,202,train,44,1,0.6693814523150416,20665832429712173
order,202,train,45,0,0.7292697512135538,2464222923637462046
order,202,train,46,1,0.6032572382405875,8927194343016753613
order,202,train,47,0,0.5503081092365332,7170151103348343074
order,202,train,48,1,0.8822938780625045,4786143849909728382
order,202,train,49,1,0.5566329474127032,4354592048380496625
order,202,train,50,0,0.6039761313414002,1576905083389332168
order,202,train,51,0,0.8879208157390619,5040341544619343721
order,202,train,52,0,0.920895424084381,7610275002560950408
order,202,train,53,0,0.8734440681565252,708403965892152353
order,202,train,54,1,0.9034040275444759,6872830464756671413
order,202,train,55,0,0.5643068872213509,7541626989092080802
order,202,train,56,1,0.7148705283508141,6413247062723653072
order,202,train,57,1,0.9320016510394988,1459979201648927049
order,202,train,58,0,0.6683306464960102,6724245677704843332
order,202,train,59,1,0.5924638626156058,4211013922058184946
order,202,validation,0,1,0.7144317198383172,7281859604942540957
order,202,validation,1,1,0.5684247839175318,734792565429453473
order,202,validation,2,0,0.9225608696876697,3478484986096446234
order,202,validation,3,1,0.812999668027651,1278639286772049758
order,202,validation,4,0,0.552687709715721,364163414710485204
order,202,validation,5,1,0.8431738170624303,8331271822687277728
order,202,validation,6,0,0.804457552298645,1848579918193979991
order,202,validation,7,1,0.7268060876464619,6691487475186134426
order,202,validation,8,0,0.679658846286898,7080678968927278261
order,202,validation,9,0,0.5761519257048456,2981284049752512060
order,202,validation,10,1,0.7454810991192146,6713590189926379377
order,202,validation,11,0,0.648203573598706,9190264595073462182
order,202,validation,12,0,0.8387619862059789,8662312855143112939
order,202,validation,13,1,0.8252984873198616,1892296159732722190
order,202,validation,14,1,0.6928500804222021,8389586588215067313
order,202,validation,15,1,0.5553087457886223,2042899625218501688
order,202,validation,16,0,0.5507647548390642,6735334755169575348
order,202,validation,17,0,0.7575141755603022,7822597942005399761
order,202,validation,18,0,0.7429212328718725,3838936005287681705
order,202,validation,19,1,0.699196953596233,5636376384483945240
order,202,test,0,0,0.7626611556890146,5840866161907024990
order,202,test,1,0,0.825985473506891,8827155670129214814
order,202,test,2,1,0.8210887363582362,474392610235817052
order,202,test,3,0,0.6850976732371177,1625392692214156382
order,202,test,4,1,0.7673486684028983,4343912178717319912
order,202,test,5,1,0.5996813251643245,2687530258992370587
order,202,test,6,0,0.6620781403773931,1820454017348548423
order,202,test,7,1,0.8460956664833323,1876013884492368114
order,202,test,8,1,0.6531477810999257,903268621047408431
order,202,test,9,0,0.865121674736203,6943748397635773186
order,202,test,10,0,0.6353340822738099,41576581481903159
order,202,test,11,1,0.713280089961889,5360303542303138873
order,202,test,12,1,0.9091316890843939,2451379013226086621
order,202,test,13,0,0.7807812606407334,3358282000345903417
order,202,test,14,1,0.8986349566419265,7682268292012811593
order,202,test,15,0,0.7115329489299562,3672878048169729473
order,202,test,16,1,0.6931749195464062,4863062611457735948
order,202,test,17,1,0.6213281889952286,2210865568026989353
